question,answer
How can I find a Tunisie Telecom store?,Trouver un espace TT
What is indicated if assistance is needed for finding a TT store?,Besoin d'aide ?
Was any primary textual content found on the MyTT Achat Forfait page after filtering out headers and footers?,No main text content found after filtering.
Was any primary textual content discovered on the MyTT Sabba page after removing headers and footers?,No main text content found after filtering.
"Was any main text content identified on the MyTT TTCash page, excluding headers and footers?",No main text content found after filtering.
Was any central text found on the MyTT Recharge Via Code page once headers and footers were filtered?,No main text content found after filtering.
Was any significant text content located on the MyTT Paiement Facture page after filtering?,No main text content found after filtering.
Did the MyTT E-Facture page contain any main text content after filtering common elements?,No main text content found after filtering.
Was any main text extracted from the MyTT Couverture page after filtering?,No main text content found after filtering.
Did the MyTT Roaming GPRS page reveal any main text content after filtering out headers and footers?,No main text content found after filtering.
Was any main text content available on the MyTT Activation IPv6 page after excluding headers/footers?,No main text content found after filtering.
"After filtering headers and footers, was any main text content found on the MyTT Suivi Client page?",No main text content found after filtering.
What prepaid mobile offer has Tunisie Telecom re-launched?,Mobile Offres Prépayées Tunisie Telecom propose à nouveau la relance de l’offre promotionnelle « Doubliha »
What is the benefit of the 'Doubliha' promotional offer?,"permettant à ses clients de bénéficier d'un bonus de 100 % sur toutes les recharges effectuées lundi, Mercredi et Vendredi."
How long is the bonus from the 'Doubliha' offer valid?,Bonus Valable 10 jours vers tous les réseaux
What is the voice tariff for the 'Doubliha' offer?,Tarif voix : 90 mil/ min par palier de 60 sec
What is the SMS tariff for the 'Doubliha' offer?,Tarif SMS :25 mil
Until when is the 'Doubliha' promotional offer available?,Offre promotionnelle jusqu’au 26/09/2025
What is mentioned if help is needed regarding the 'Doubliha' offer?,Besoin d'aide ?
What is the name of the prepaid mobile offer for sharing vacation moments?,Mobile Offres Prépayées Partagez vos meilleurs moments de vacances grâce à l’offre Tourist SIM
Who is the 'Tourist SIM' offer intended for and what is its price?,Offre destinée à tous les non-résidents à 10 DT
What is included in the 10 DT 'Tourist SIM' offer?,incluant : 10 DT 10 Min d’appels en Nationals 2.1 Go valable 30 jours
Are internet packages via *140# compatible with the 'Tourist SIM' offer?,Tous les forfaits internet sur *140# sont compatible avec cette offre ainsi que les recharge internet SABBA
What is the national minimum price per minute for the 'Tourist SIM' offer?,Prix min en national : 0.220 DTttc
Where is the 'Tourist SIM' offer available for purchase?,L’offre Tourist SIM est disponible dans tous les ETT ainsi que les Box TT aux aéroports
What assistance is offered for the 'Tourist SIM' product?,Besoin d'aide ?
What does the 'JawekNet' option for prepaid mobile offers allow users to do?,Mobile Offres Prépayées Avec l’option JawekNet vous avez la possibilité de combiner votre forfait selon votre besoin
What are the call forfait ranges and starting price for JawekNet?,Appels Des forfaits allant de 15 min jusqu’au 40H40min à partir de 0.460 DT
"What are the internet forfait ranges and starting price with JawekNet, and is there a discount?",Internet Des forfaits allant de 50 Mo jusqu’au 40 Go avec une remise de 5% à partir de 0.210 DT
What discount is applied to mixed (calls + internet) options with JawekNet?,Mixte Une remise* de 30% est appliquée sur le tarif voix pour les options mixtes (Appels +internet).
Is the JawekNet option compatible with all prepaid mobile offers?,L’option JawekNet est compatible avec toutes les offres mobiles prépayées.
How can one subscribe to JawekNet?,"Pour souscrire à JawekNet, connectez-vous à votre compte My TT via tunisietelecom.tn ou sur l’application My TT"
Under what condition is the 30% discount not applied for JawekNet mixed options?,"*Au-delà d’un volume de 6 Go, la remise 30% n’est plus appliquée"
How can one download the My TT application?,Télécharger My TT
What help is available for the JawekNet option?,Besoin d'aide ?
What is the main benefit of the 'Trankil' prepaid mobile offer?,Mobile Offres Prépayées Vous souhaitez passer des appels avec le prix minute le moins cher du marché ? Avec l’offre Trankil appelez vers tous les opérateurs fixe et mobile à 35 millimes la minute !
What is the call tariff for the 'Trankil' offer?,35 Mill Tarif d'appel vers tous les opérateurs en Tunisie /Min
What is the SMS price for the 'Trankil' offer?,Prix SMS 25 Millimes
What is the taxation unit for the 'Trankil' offer?,Le palier de taxation : 1min
What are the details of the exclusive option for the 'TRANKIL' offer?,Vous pouvez aussi bénéficier d’une option exclusive à l’offre TRANKIL 1 DT 10 Min + 150 Mo Valable 48h *135#
Is the exclusive option for 'TRANKIL' automatically renewed?,Renouvellement automatique du forfait à la fin du délai
Are unused minutes and mobile internet from the 'TRANKIL' exclusive option cumulative upon automatic renewal?,Les minutes et Internet Mobile non consommés sont cumulables lors du renouvellement automatique.
Where can new customers subscribe to the 'Trankil' offer?,SOUSCRIPTION Dans tous les Espaces TT pour les nouveaux Clients
"Can existing customers with the 300% offer migrate to 'Trankil', and if so, how?",Migration possible pour les clients 300% via le code *230#
Who can be contacted for further information on the 'Trankil' offer?,"Pour toute information complémentaire, appelez notre Call Center au 1298"
How is help offered for the 'Trankil' offer?,Besoin d'aide ?
What does Tunisie Telecom offer its prepaid customers for communication and mobile internet?,Mobile Offres Prépayées Vous êtes un client prépayé de TUNISIE TELECOM ! alors profitez d’une large gamme d’options pour communiquer vers tous les opérateurs et naviguer sur Internet mobile à prix réduit.
How can prepaid customers choose their desired Hadra Net option?,Envoyez gratuitement *211# et choisissez l’option qui vous convient !
What are the details of the Hadra NET option including 100MB data and 10 minutes?,Options Hadra NET Validité Tarifs Code d'activation Code de suivi 100 Mo + 10 minutes vers tous les opérateurs jusqu’à minuit 800 mill *211*1# *122*26#
What are the specifics of the Hadra NET option that includes 200MB data and 2h2min of calls?,200 Mo + 2h2 min vers tous les opérateurs 2 jours 1.9 DT *211*4# *122*26#
What are the characteristics of the Hadra NET option offering 300MB data and 3h30min of calls?,300 Mo + 3h30 vers tous les opérateurs 3 jours 3 DT *211*2# *122*26#
What are the details for the Hadra NET option that provides 500MB data and 5h50min of calls?,500 Mo + 5h50 vers tous les opérateurs 5 jours 5 DT *211*3# *122*26#
Can you describe the Hadra NET option that includes 1GB data and 7h7min of calls?,1 Go + 7h7min vers tous les opérateurs ​7 jours ​8 DT ​*211*5# ​*122*26#
What does the Hadra NET option with 4GB data and 10h10min of calls offer?,4 Go + 10h10mn vers tous les opérateurs 10 jours 15 DT *211*6# *122*26#
What are the features of the Hadra NET option providing 25GB data and 2h30min of calls?,25 Go + 2h30 vers tous les opérateurs 30 jours 35 DT *211*01# *122*26#
"What voice option provides 15 minutes of calls, and what are its validity, tariff, activation, and tracking codes?",Options Validité Tarifs Code d'activation Code de suivi 15 minutes Dès l’activation jusqu’à minuit 500 mil *152# *122*15#
What are the details of the voice option offering 30 minutes of calls?,30 minutes Dès l’activation jusqu’à minuit 950 mil *106*1# *122*1#
Can you describe the voice option that provides 2h10min of calls?,2h10 2 Jours 1.5 DT *106*2# *122*1#
What does the voice option with 7h10min of calls offer?,7h10 ​7 Jours ​5 DT ​*106*3# ​*122*1#
What are the specifics of the voice option providing 16 hours of calls?,16h 15 Jours 10 DT *106*4# *122*1#
What are the characteristics of the voice option offering 21 hours of calls?,21h 20 Jours 12 DT *106*5# *122*1#
What are the details for the voice option that includes 35 hours of calls?,35h 30 Jours 20 DT *106*6# *122*1#
Is there support available for Hadra NET options?,Besoin d'aide ?
What new prepaid offer is Tunisie Telecom launching specifically for students?,"Mobile Offres Prépayées Tunisie Telecom lance une nouvelle offre prépayée dédiée spécialement aux étudiants avec un contenu très riche et diversifié (gaming, news, musique)."
What are the cost and call/SMS rates for the Pass Etudiant offer?,3 DT 35 mil/min 25 mil/sms
"How much mobile internet is included in the Pass Etudiant, and what gaming service is provided?",Internet Mobile 200 Mo Gameloft permettant d'accéder à une panoplie de jeux
What music and press services are included in the Pass Etudiant?,"Digster by TT permettant d’écouter, télécharger vos playlists préférées TT Presse accès à un catalogue riche et varié de magazines et journaux tunisiens et de quelques titres internationaux"
"What is the validity period of the Pass Etudiant, and what is its activation code?",Valable 7 Jours *255#
"Is the Pass Etudiant automatically renewed, and is there a cost for the first activation?",Renouvellement automatique. La 1ère activation du Pass est Gratuite.
What is the taxation unit for the Pass Etudiant offer?,Palier de taxation 60s
Where can students get the Pass Etudiant offer?,COMMENT BÉNÉFICIER DE L’OFFRE PASS ETUDIANT ? L’offre Pass Etudiant est disponible dans tous les Espaces TT pour les nouveaux Clients.
Is assistance provided for the Pass Etudiant offer?,Besoin d'aide ?
What does Tunisie Telecom offer for heavy internet users in its billed mobile offers?,Mobile Offres à Facture Vous êtes un grand consommateur d'internet ? Tunisie Telecom vous propose une panoplie de forfaits OH!Méga pour naviguer en toute liberté jusqu’à 200Go et communiquer jusqu’à 50h.
What are the details of the 20 DT Forfait OH!MEGA?,20 DT Forfait Voix 1H Forfait DATA 7Go Tarif hors forfait 50 mil/min
What does the 30 DT Forfait OH!MEGA include?,30 DT Forfait Voix 2H Forfait DATA 10 Go Tarif hors forfait 50 mil/min
Can you describe the 40 DT Forfait OH!MEGA?,40 DT Forfait Voix 2H Forfait DATA 30 Go Tarif hors forfait 50 mil/min
What is offered in the 50 DT Forfait OH!MEGA?,50 DT Forfait Voix 4H Forfait DATA 35Go Tarif hors forfait 50 mil/min
What are the features of the 100 DT Forfait OH!MEGA?,100 DT Forfait Voix 10H Forfait DATA 90 Go Tarif hors forfait 50 mil/min
What are the inclusions of the 150 DT Forfait OH!MEGA?,150 DT Forfait Voix 35H Forfait DATA 110 Go Tarif hors forfait 50 mil/min
What does the 200 DT Forfait OH!MEGA provide?,200 DT Forfait Voix 50H Forfait DATA 200 Go Tarif hors forfait 50 mil/min
What is the call taxation unit for OH!MEGA forfaits?,Le palier de taxation est de 30 secondes.
Is the voice credit in OH!MEGA forfaits valid for all operators in Tunisia?,* Le crédit en heures est valable vers tous les opérateurs en Tunisie
Are the OH!MEGA forfaits subject to stamp duty?,Tarifs en TTC hors droit de timbre
How are OH!MEGA forfaits structured in terms of spending limits?,Ces forfaits sont proposés en mode plafonné.
How can users with OH!MEGA forfaits make calls beyond their included allowance?,"Pour les appels hors forfaits, vous pouvez recharger votre compte par les moyens de recharge disponibles."
What are the USSD codes to check voice and internet forfait balances for OH!MEGA?,"Pour le suivi de vos forfaits, composez les codes suivants : Consultation du forfait voix : *122*5# Consultation du forfait internet : *122*2#"
Where can customers subscribe to the OH!MEGA offer?,COMMENT SOUSCRIRE À L’OFFRE OH!MEGA ? La souscription à l'offre OH !La Méga s'effectue directement auprès des Espaces TT et/ou la Direction Marché Entreprises ou via Eshop TT.
What support is offered for the OH!MEGA forfaits?,Besoin d'aide ?
What does Tunisie Telecom offer for heavy voice users in its billed mobile offers?,Mobile Offres à Facture Vous êtes un grand consommateur de la voix ? Tunisie Telecom vous propose une panoplie de forfaits OH!La Voix pour communiquer en toute liberté jusqu'à 90h et bénéficier d'un Forfait Data Mobile généreux jusqu'à 29 Go.
What is the starting price for the OH!LA VOIX forfaits?,Offre disponible à partir de 20DT Seulement et au meilleur tarif minute.
What are the details of the 20 DT Forfait OH!LA VOIX?,20 DT Forfait Voix 8H Forfait DATA 1 Go Tarif hors forfait 50 mil/min
What does the 30 DT Forfait OH!LA VOIX include?,30 DT Forfait Voix 12H Forfait DATA 2Go Tarif hors forfait 50 mil/min
Can you describe the 40 DT Forfait OH!LA VOIX?,40 DT Forfait Voix 15H Forfait DATA 3 Go Tarif hors forfait 50 mil/min
What is offered in the 50 DT Forfait OH!LA VOIX?,50 DT Forfait Voix 20H Forfait DATA 5 Go Tarif hors forfait 50 mil/min
What are the features of the 100 DT Forfait OH!LA VOIX?,100 DT Forfait Voix 45H Forfait DATA 7 Go Tarif hors forfait 50 mil/min
What are the inclusions of the 150 DT Forfait OH!LA VOIX?,150 DT Forfait Voix 70H Forfait DATA 8 Go Tarif hors forfait 50 mil/min
What does the 200 DT Forfait OH!LA VOIX provide?,200 DT Forfait Voix 90H Forfait DATA 29 Go Tarif hors forfait 50 mil/min
What is the call taxation unit for OH!LA VOIX forfaits?,Le palier de taxation est de 30 secondes
Is the voice credit in OH!LA VOIX forfaits valid for all operators in Tunisia?,Le crédit en heures est valable vers tous les opérateurs en Tunisie
How are OH!LA VOIX forfaits structured regarding spending limits?,Ces forfaits sont proposés en mode plafonné.
How can users with OH!LA VOIX forfaits make calls beyond their included allowance?,"Pour les appels hors forfaits, vous pouvez recharger votre compte par les moyens de recharge disponibles"
What are the USSD codes to check voice and internet forfait balances for OH!LA VOIX?,CONSULTATION DU SOLDE Consultation du forfait voix : *122*5# Consultation du forfait internet : *122*2#
Where can customers subscribe to the OH!LA VOIX offer?,COMMENT SOUSCRIRE À L'OFFRE OH!LA VOIX ? La souscription à l'offre OH !La Voix s'effectue directement auprès des Espaces TT et/ou la Direction Marché Entreprises ou via Eshop TT.
Is help available for the OH!LA VOIX forfaits?,Besoin d'aide ?
What is the call rate with the 'Fatoura' mobile offer from Tunisie Telecom?,"Mobile Offres à Facture Avec la nouvelle offre Fatoura de Tunisie Telecom, bénéficiez des avantages suivants : Appelez tous les opérateurs en Tunisie 24h/24 et 7j/7 à SEULEMENT 90 millimes la minute."
How much monthly 4G internet data is included with the 'Fatoura' offer?,Naviguez sur internet 4G avec un forfait de 500 Mo chaque début de mois
What is the minimum monthly bill amount for the 'Fatoura' offer and what does it cover?,Le minimum de votre facture est de 15 DT de communications valable vers tous les opérateurs en Tunisie et vers l’International.
What is the call billing increment for the 'Fatoura' offer?,Le palier de taxation est de 30 secondes.
Is assistance provided for the 'Fatoura' offer?,Besoin d'aide ?
What are the prices and validity for the 110 Go Big Internet Forfait via *540# and My TT?,Forfaits 110 Go Prix via *540# 80 DT ​Prix via MY TT paiement bancaire 72 DT ​Prix via MY TT paiement par solde 76 DT Validité 60 Jours
What are the prices and validity for the 200 Go Big Internet Forfait via *540# and My TT?,Forfaits 200 Go Prix via *540# 100 DT ​Prix via MY TT paiement bancaire ​90 DT Prix via MY TT paiement par solde 95 DT Validité 120 Jours
What are the details of the 100 MB mobile data forfait available via *140# and My TT?,Forfaits 100 Mo Prix via *140# 450 millimes ​Prix via MY TT paiement bancaire ​405 millimes Prix via MY TT paiement par solde 428 millimes Validité Minuit
"Can you describe the 220 MB mobile data forfait, including its price options and validity?",Forfaits 220Mo​ Prix via *140# 1 DT ​Prix via MY TT paiement bancaire ​900 millimes Prix via MY TT paiement par solde 950 millimes Validité 24H
What are the specifics of the 650 MB mobile data forfait?,Forfaits 650 Mo​ Prix via *140# ​3 DT ​Prix via MY TT paiement bancaire 2.7 DT​ Prix via MY TT paiement par solde 2.85 DT​ Validité 7 J
What does the 900 MB mobile data forfait offer in terms of price and validity?,Forfaits 900 Mo Prix via *140# 4 DT ​Prix via MY TT paiement bancaire 3.6 DT Prix via MY TT paiement par solde 3.8 DT Validité 30 J
What are the price options and validity for the 1.5 GB mobile data forfait?,Forfaits 1.5 Go Prix via *140# 6 DT​ ​Prix via MY TT paiement bancaire 5.4 DT​ Prix via MY TT paiement par solde 5.7 DT Validité 30 J
Can you detail the 4 GB mobile data forfait?,Forfaits 4 Go Prix via *140# 10 DT ​Prix via MY TT paiement bancaire 9 DT Prix via MY TT paiement par solde 9.5 DT Validité 30 J
What are the characteristics of the 10 GB mobile data forfait?,Forfaits 10 Go​ Prix via *140# 25 DT​ ​Prix via MY TT paiement bancaire 22.5 DT​ Prix via MY TT paiement par solde ​23.75 DT Validité 30 J
What is offered in the 25 GB mobile data forfait?,Forfaits 25 Go ​Prix via *140# 30 DT ​Prix via MY TT paiement bancaire 27 DT Prix via MY TT paiement par solde 28.5 DT Validité 30 J
What are the specifics of the 45 GB mobile data forfait?,Forfaits ​45 Go Prix via *140# ​50 DT ​Prix via MY TT paiement bancaire 45 DT​ Prix via MY TT paiement par solde ​47.5 DT Validité 30 J
"Can you describe the 60 GB mobile data forfait, including its pricing and validity?",Forfaits 60 Go Prix via *140# 60 DT ​Prix via MY TT paiement bancaire ​54 DT Prix via MY TT paiement par solde 57 DT Validité 30 J
How can mobile internet forfaits be activated?,L'activation des forfaits internet sera via : Le code *140# et l’application My TT
How can the usage of mobile internet forfaits be tracked?,Pour le suivi des forfaits internet : Le code *140*7*8#  l’application My TT
How can mobile internet forfaits be transferred?,Pour le transfert des forfaits internet : Le code *140*7*6#
Is there support for mobile internet forfaits?,Besoin d'aide ?
Can customers extend the validity of their mobile internet forfait upon expiration?,"Mobile Internet Mobile Avec TT rien ne se perd, à la date d’expiration de votre forfait vous pouvez désormais prolonger sa validité de 7 jours supplémentaires afin de pouvoir garder ce qu’il en reste de volume internet moyennant des frais :"
What is the fee to prolong forfait validity if the remaining internet volume is between 500MB and 1.5GB (exclusive)?,Volume internet restant à J-1 expiration Frais en DT TTC [500MO et 1.5Go [ 1 DT
